University,Name,Department,Rank,Sex,Title,Pronouns,URL,Face,Smile
Harvard,Alex Chan,"Negotiation, Organizations & Markets",Assistant,Male,Assistant Professor of Business Administration,[],https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1495303,1,1
Harvard,Amitabh Chandra,Technology and Operations Management,Full,Male,Henry and Allison McCance Family Professor of Business Administration,"['he', 'his', 'he', 'his', 'he', 'his', 'he', 'he', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=868461,1,1
Harvard,Edward H. Chang,"Negotiation, Organizations & Markets",Assistant,Male,Assistant Professor of Business Administration,"['he', 'his', 'he', 'his', 'he', 'his', 'he', 'his']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1284280,1,1
Harvard,Prithwiraj Choudhury,Technology and Operations Management,Associate,Male,Lumry Family Associate Professor of Business Administration,"['he', 'his', 'he', 'he', 'his', 'he', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=327154,1,1
Harvard,Katherine B. Coffman,"Negotiation, Organizations & Markets",Associate,Female,Piramal Associate Professor of Business Administration,"['she', 'her', 'her', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=879706,1,1
Harvard,Lauren H. Cohen,Finance,Full,Male,L.E. Simmons Professor of Business Administration,"['he', 'he', 'he', 'his', 'his', 'he', 'his', 'he', 'he', 'he', 'his', 'his']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=340063,1,1
Harvard,Shawn A. Cole,Finance,Full,Male,John G. McLean Professor of Business Administration,"['he', 'his', 'he', 'his', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=340064,1,0
Harvard,Joshua D. Coval,Finance,Full,Male,Jay O. Light Professor of Business Administration (Leave of Absence),"['he', 'his', 'his', 'his', 'his', 'his', 'his']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=147411,1,1
Harvard,Zoe B. Cullen,Entrepreneurial Management,Assistant,Female,Assistant Professor of Business Administration,"['she', 'she', 'her', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=879471,1,1
Harvard,Leemore S. Dafny,General Management,Full,Female,Bruce V. Rauner Professor of Business AdministrationMary Ellen Jay and Jeffrey Jay Fellow,"['her', 'her', 'she', 'she', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=220887,1,1
Harvard,Julian De Freitas,Marketing,Assistant,Male,Assistant Professor of Business Administration,"['he', 'he', 'he', 'his', 'his', 'his', 'he', 'he', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1326184,1,1
Harvard,Mihir A. Desai,Finance,Full,Male,Mizuho Financial Group Professor of Finance,"['he', 'his', 'his', 'he', 'his', 'his', 'his', 'his', 'he', 'his', 'he', 'he', 'he', 'he', 'his', 'he', 'he', 'he', 'he', 'he', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6585,1,1
Harvard,Rohit Deshpande,Marketing,Emeritus,Male,"Baker Foundation ProfessorSebastian S. Kresge Professor of Marketing, Emeritus","['he', 'he', 'he', 'he', 'he', 'he', 'his', 'his', 'he', 'he', 'his', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6447,1,1
Harvard,Aiyesha Dey,Accounting and Management,Full,Female,James R. Williston Professor of Business Administration,"['she', 'her', 'she', 'she', 'she', 'her', 'she', 'her', 'she', 'she', 'her', 'she', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=340604,1,1
Harvard,Marco Di Maggio,Finance,Associate,Male,Associate Professor of Business Administration,"['he', 'he', 'his']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=697248,1,1
Harvard,Rafael M. Di Tella,"Business, Government and the International Economy",Full,Male,William Ziegler Professor of Business Administration,[],https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6448,1,1
Harvard,Amy C. Edmondson,Technology and Operations Management,Full,Female,Novartis Professor of Leadership and Management,"['she', 'she', 'her', 'her', 'her', 'she', 'her', 'her', 'she', 'she', 'she', 'her', 'her']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6451,1,1
Harvard,Mark L. Egan,Finance,Associate,Male,Mark E. Kingdon Associate Professor of Business Administration,"['his', 'his', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=774513,1,1
Harvard,Thomas R. Eisenmann,Entrepreneurial Management,Full,Male,"Howard H. Stevenson Professor of Business AdministrationPeter O. Crisp Faculty Chair, Harvard Innovation LabsUnit Head, Entrepreneurial Management","['he', 'he', 'he', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6452,1,0
Harvard,Anita Elberse,Marketing,Full,Female,Lincoln Filene Professor of Business Administration,"['she', 'she', 'she', 'she', 'she', 'her', 'she', 'her', 'she', 'her', 'she', 'her', 'she', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=244024,1,1
Harvard,Caroline M. Elkins,"Business, Government and the International Economy",Full,Female,Thomas Henry Carroll/Ford Foundation Professor of Business Administration,"['she', 'she', 'her', 'her', 'she', 'her', 'she', 'her', 'her', 'she', 'her', 'she', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=937841,1,1
Harvard,Benjamin C. Esty,Finance,Full,Male,Roy and Elizabeth Simmons Professor of Business Administration,"['he', 'he', 'he', 'he', 'he', 'he', 'his', 'his', 'he', 'his', 'he', 'his', 'he', 'he', 'he', 'he', 'he', 'his', 'his', 'his']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6454,1,1
Harvard,Chiara Farronato,Technology and Operations Management,Associate,Female,Glenn and Mary Jane Creamer Associate Professor of Business Administration,"['her', 'her', 'her', 'her', 'her', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=775022,1,1
Harvard,Alexandra C. Feldberg,Organizational Behavior,Assistant,Female,Assistant Professor of Business Administration,"['she', 'her', 'her', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=663916,1,1
Harvard,Kris Johnson Ferreira,Technology and Operations Management,Associate,Female,Edgerley Family Associate Professor of Business Administration,"['she', 'her', 'she', 'her', 'her', 'her', 'her', 'her', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=773347,1,1
Harvard,Mattias E. Fibiger,"Business, Government and the International Economy",Assistant,Male,Assistant Professor of Business Administration,"['he', 'his', 'his', 'he', 'his', 'he', 'he', 'he', 'his']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1059061,1,1
Harvard,C. Fritz Foley,Finance,Associate,Male,André R. Jakurski Professor of Business AdministrationSenior Associate Dean for External Relations,"['he', 'he', 'he', 'he', 'he', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=10647,1,0
Harvard,Frances X. Frei,Technology and Operations Management,Full,Female,UPS Foundation Professor of Service Management,"['her', 'she', 'her', 'she', 'she', 'her', 'her', 'her', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6587,1,1
Harvard,Jeremy S. Friedman,"Business, Government and the International Economy",Associate,Male,Marvin Bower Associate Professor,"['he', 'he', 'he', 'his', 'his', 'his', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=773921,1,1
Harvard,Carolyn J. Fu,Strategy,Assistant,Female,Assistant Professor of Business Administration,"['she', 'her', 'her', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1387630,1,1
Harvard,Renata Gaineddenova,Strategy,Assistant,Female,Assistant Professor of Business Administration,[],https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1432021,1,1
Harvard,Susanna Gallani,Accounting and Management,Associate,Female,Tai Family Associate Professor of Business Administration,"['she', 'she', 'she', 'she', 'her', 'she', 'her', 'her', 'her', 'her', 'her', 'her', 'her', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=774593,1,1
Harvard,Natalia Garbiras-Diaz,"Business, Government and the International Economy",Assistant,Female,Assistant Professor of Business Administration,"['her', 'she', 'she', 'her', 'she', 'she', 'her', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1457929,1,1
Harvard,Stuart C. Gilson,Finance,Full,Male,Steven R. Fenster Professor of Business Administration,"['his', 'he', 'his', 'his', 'he', 'his', 'he', 'he', 'he', 'he', 'he', 'he', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6461,1,1
Harvard,Francesca Gino,"Negotiation, Organizations & Markets",Full,Female,Professor of Business Administration (Administrative Leave),"['she', 'her', 'her', 'her', 'her']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=271812,1,1
Harvard,Amit Goldenberg,"Negotiation, Organizations & Markets",Assistant,Male,Assistant Professor of Business Administration,"['he', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1194484,1,1
Harvard,Paul A. Gompers,Finance,Full,Male,Eugene Holman Professor of Business Administration,"['he', 'his', 'he', 'he', 'he', 'his', 'he', 'his', 'he', 'his', 'his', 'he', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6463,1,1
Harvard,Thomas W. Graeber,"Negotiation, Organizations & Markets",Assistant,Male,Assistant Professor of Business Administration,"['he', 'his', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1284604,1,1
Harvard,Daniel W. Green,Finance,Assistant,Male,Assistant Professor of Business Administration,"['he', 'his', 'he', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1061497,1,0
Harvard,Jerry R. Green,"Negotiation, Organizations & Markets",Full,Male,David A. Wells Professor of Political EconomyJohn Leverett Professor in the University,"['his', 'he', 'he', 'he', 'his', 'he', 'he', 'he', 'he', 'his', 'he', 'his', 'he', 'his', 'he', 'he', 'he', 'he', 'he', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6466,1,1
Harvard,Shane M. Greenstein,Technology and Operations Management,Full,Male,Martin Marshall Professor of Business Administration,"['he', 'he', 'his', 'he', 'his', 'his', 'he', 'his', 'his', 'he', 'his']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=718917,1,1
Harvard,Robin Greenwood,Finance,Associate,Male,George Gund Professor of Finance and BankingSenior Associate Dean for Faculty Development and Research,"['he', 'he', 'he', 'he', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=136446,1,1
Harvard,Boris Groysberg,Organizational Behavior,Full,Male,Richard P. Chapman Professor of Business Administration,"['he', 'he', 'his', 'his', 'he', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=10650,1,1
Harvard,Ranjay Gulati,Organizational Behavior,Full,Male,Paul R. Lawrence MBA Class of 1942 Professor of Business Administration,"['he', 'his', 'his', 'he', 'he', 'he', 'he', 'his', 'his', 'he', 'his', 'he', 'his', 'his', 'his', 'he', 'he', 'he', 'he', 'his', 'he', 'he', 'his', 'he', 'he', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=77265,1,1
Harvard,Sunil Gupta,Marketing,Full,Male,Edward W. Carter Professor of Business Administration,"['he', 'his', 'his', 'his', 'his', 'his', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=261323,1,1
Harvard,Janice H. Hammond,Technology and Operations Management,Full,Female,Jesse Philips Professor of Manufacturing,"['she', 'she', 'she', 'she', 'she', 'her', 'she', 'she', 'she']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6470,1,1
Harvard,Samuel G. Hanson,Finance,Full,Male,William L. White Professor of Business Administration,"['he', 'his', 'he', 'he', 'his', 'he']",https://www.hbs.edu/faculty/Pages/profile.aspx?facId=333598,1,1
