University,Name,Department,Rank,Sex,Title,Pronouns,URL,Face,Smile
Columbia,Ann Bartel,Economics Division,Full,Female,Merrill Lynch Professor of Workforce Transformation,['she'],https://business.columbia.edu/faculty/people/ann-bartel,1,0
Columbia,Laura Boudreau,Economics Division,Assistant,Female,Assistant Professor of Business,"['she', 'her']",https://business.columbia.edu/faculty/people/laura-boudreau,1,1
Columbia,Abby Cohen,Economics Division,Full,Female,Professor of Business,[],https://business.columbia.edu/faculty/people/abby-cohen,1,1
Columbia,Wouter Dessein,Economics Division,Full,Male,Eli Ginzberg Professor of Finance and Economics,"['he', 'his']",https://business.columbia.edu/faculty/people/wouter-dessein,1,0
Columbia,Laura Doval,Economics Division,Associate,Female,Daniel W. Stanton Associate Professor of Business,"['she', 'her']",https://business.columbia.edu/faculty/people/laura-doval,1,1
Columbia,Frank Lichtenberg,Economics Division,Full,Male,Cain Brothers & Company Professor of Healthcare Management in the Faculty of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/frank-lichtenberg,1,0
Columbia,Frederic Mishkin,Economics Division,Full,Male,Alfred Lerner Professor of Banking and Financial Institutions,"['he', 'his']",https://business.columbia.edu/faculty/people/frederic-mishkin,1,1
Columbia,Christian Moser,Economics Division,Assistant,Male,Assistant Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/christian-moser,1,0
Columbia,Cristóbal Otero,Economics Division,Assistant,Male,Assistant Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/cristobal-otero-ruiz-tagle,1,1
Columbia,Jacopo Perego,Economics Division,Associate,Male,Class of 1967 Associate Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/jacopo-perego,1,1
Columbia,Tommaso Porzio,Economics Division,Associate,Male,Associate Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/tommaso-porzio,1,1
Columbia,Andrea Prat,Economics Division,Full,Male,Richard Paul Richman Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/andrea-prat,1,0
Columbia,Jonah Rockoff,Economics Division,Full,Male,Paul Garrett Professor of Public Policy and Business Responsibility,"['he', 'his']",https://business.columbia.edu/faculty/people/jonah-rockoff,1,0
Columbia,Jesse Schreger,Economics Division,Associate,Male,Associate Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/jesse-schreger,1,0
Columbia,Nachum Sicherman,Economics Division,Full,Male,Carson Family Professor of Business; Chair of Economics Division,['he'],https://business.columbia.edu/faculty/people/nachum-sicherman,1,1
Columbia,Paolo Siconolfi,Economics Division,Full,Male,Franklin Pitcher Johnson Jr. Professor of Finance and Economics,"['he', 'his']",https://business.columbia.edu/faculty/people/paolo-siconolfi,1,0
Columbia,Joseph Stiglitz,Economics Division,Full,Male,Professor,['he'],https://business.columbia.edu/faculty/people/joseph-stiglitz,1,0
Columbia,Conor Walsh,Economics Division,Assistant,Male,Assistant Professor of Business,[],https://business.columbia.edu/faculty/people/conor-walsh,1,1
Columbia,Shang-Jin Wei,Economics Division,Full,Male,N T  Wang Professor of Chinese Business and Economy,"['he', 'his']",https://business.columbia.edu/faculty/people/shang-jin-wei,1,1
Columbia,Pierre Yared,Economics Division,Full,Male,MUTB Professor of International Business,"['he', 'his']",https://business.columbia.edu/faculty/people/pierre-yared,1,1
Columbia,Stephen Zeldes,Economics Division,Full,Male,Frank R. Lautenberg Professor of Economics and Public Policy,"['he', 'his']",https://business.columbia.edu/faculty/people/stephen-zeldes,1,1
Columbia,Mabel Abraham,Management Division,Associate,Female,Barbara and Meyer Feldberg Associate Professor of Business,"['she', 'her']",https://business.columbia.edu/faculty/people/mabel-abraham,1,1
Columbia,Eric Abrahamson,Management Division,Full,Male,Hughie E. Mills Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/eric-abrahamson,1,0
Columbia,Modupe Akinola,Management Division,Full,Female,Barbara and David Zalaznick Professor of Business,['she'],https://business.columbia.edu/faculty/people/modupe-akinola,1,1
Columbia,Daniel Ames,Management Division,Full,Male,Ting Tsung and Wei Fong Chao Professor of Business,['he'],https://business.columbia.edu/faculty/people/daniel-ames,1,0
Columbia,Joel Brockner,Management Division,Full,Male,Phillip Hettleman Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/joel-brockner,1,0
Columbia,Derek Brown,Management Division,Assistant,Male,Assistant Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/derek-brown,1,0
Columbia,Vanessa Burbano,Management Division,Associate,Female,Sidney Taurel Associate Professor of Business,"['she', 'her']",https://business.columbia.edu/faculty/people/vanessa-burbano,1,1
Columbia,Bo Cowgill,Management Division,Assistant,Male,Assistant Professor,"['he', 'his']",https://business.columbia.edu/faculty/people/bo-cowgill,1,0
Columbia,Shai Davidai,Management Division,Assistant,Male,Assistant Professor of Business,"['he', 'his']",https://business.columbia.edu/faculty/people/shai-davidai,1,0
Columbia,Adam Galinsky,Management Division,Full,Male,Paul Calello Professor of Leadership and Ethics,"['he', 'his']",https://business.columbia.edu/faculty/people/adam-galinsky,1,0
Columbia,Kathryn Harrigan,Management Division,Full,Female,Henry R. Kravis Professor of Business Leadership,['she'],https://business.columbia.edu/faculty/people/kathryn-harrigan,1,0
