University,Name,Department,Rank,Sex,Title,Pronouns,URL,Face,Smile
Yale,Jason Abaluck,Economics,Full,Male,Professor of Economics,['his'],https://som.yale.edu/faculty-research/faculty-directory/jason-abaluck,1,1
Yale,Laura Adler,Organizational Behavior,Assistant,Female,Assistant Professor of Organizational Behavior,"['she', 'her']",https://som.yale.edu/faculty-research/faculty-directory/laura-adler,1,1
Yale,Rick Antle,Accounting,Full,Male,William S. Beinecke Professor of Accounting,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/rick-antle,1,1
Yale,David Argente,Economics,Assistant,Male,Assistant Professor of Economics,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/david-argente,1,1
Yale,Nicholas C. Barberis,Finance,Full,Male,Stephen and Camille Schramm Professor of Finance,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/nicholas-c-barberis,1,1
Yale,James N. Baron,Management,Full,Male,William S. Beinecke Professor of Management,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/james-n-baron,1,0
Yale,Barbara Biasi,Economics,Assistant,Female,Assistant Professor of Economics,['her'],https://som.yale.edu/faculty-research/faculty-directory/barbara-biasi,1,1
Yale,Tristan L. Botelho,Organizational Behavior,Associate,Male,Associate Professor of Organizational Behavior,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/tristan-l-botelho,1,1
Yale,Alex Burnap,Marketing,Assistant,Male,Assistant Professor of Marketing,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/alex-burnap,1,1
Yale,Lorenzo Caliendo,Economics,Full,Male,"Won Park Hahn Professor of Global Affairs and Management; Professor of Economics; Deputy Dean, Jackson School of Global Affairs","['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/lorenzo-caliendo,1,1
Yale,Judith A. Chevalier,"Finance and Economics and Faculty Director for the Program on Social Enterprise, Innovation, and Impact",Full,Female,"William S. Beinecke Professor of Finance and Economics and Faculty Director for the Program on Social Enterprise, Innovation, and Impact","['she', 'her']",https://som.yale.edu/faculty-research/faculty-directory/judith-chevalier,1,1
Yale,James Choi,Finance,Full,Male,Professor of Finance,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/james-choi,1,1
Yale,Christopher Clayton,Finance,Assistant,Male,Assistant Professor of Finance,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/christopher-clayton,1,1
Yale,Corey Cusimano,Marketing,Assistant,Male,Assistant Professor of Marketing,['he'],https://som.yale.edu/faculty-research/faculty-directory/corey-cusimano,1,1
Yale,Jason Dana,Management and Marketing,Associate,Male,Associate Professor of Management and Marketing,[],https://som.yale.edu/faculty-research/faculty-directory/jason-dana,1,0
Yale,Jennifer Dannals,Organizational Behavior,Assistant,Female,Assistant Professor of Organizational Behavior,"['she', 'her']",https://som.yale.edu/faculty-research/faculty-directory/jennifer-dannals,1,1
Yale,Ravi Dhar,Management and Marketing,Full,Male,George Rogers Clark Professor of Management and Marketing & Director of the Yale Center for Customer Insights,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/ravi-dhar,1,1
Yale,Julia DiBenigno,Organizational Behavior,Full,Female,Professor of Organizational Behavior,"['she', 'her']",https://som.yale.edu/faculty-research/faculty-directory/julia-dibenigno,1,1
Yale,Kevin Donovan,Economics,Assistant,Male,Assistant Professor of Economics,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/kevin-donovan,1,1
Yale,Raphael Duguay,Accounting,Assistant,Male,Assistant Professor of Accounting,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/raphael-duguay,1,1
Yale,Jonathan S. Feinstein,Economics and Management,Full,Male,John G. Searle Professor of Economics and Management,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/jonathan-s-feinstein,1,1
Yale,Paul Fontanier,Finance,Assistant,Male,Assistant Professor of Finance,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/paul-fontanier,1,1
Yale,Shane Frederick,Marketing,Full,Male,Professor of Marketing,['he'],https://som.yale.edu/faculty-research/faculty-directory/shane-frederick,1,1
Yale,Adriana Germano,Organizational Behavior,Assistant,Female,Assistant Professor of Organizational Behavior,"['she', 'her']",https://som.yale.edu/faculty-research/faculty-directory/adriana-germano,1,0
Yale,Soheil Ghili,Marketing,Assistant,Male,Assistant Professor of Marketing,[],https://som.yale.edu/faculty-research/faculty-directory/soheil-ghili,1,1
Yale,Stefano Giglio,Finance,Full,Male,Professor of Finance,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/stefano-giglio,1,0
Yale,Paul Goldsmith-Pinkham,Finance,Assistant,Male,Assistant Professor of Finance,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/paul-goldsmith-pinkham,1,0
Yale,Menaka V. Hampole,Finance,Assistant,Female,Assistant Professor of Finance,['she'],https://som.yale.edu/faculty-research/faculty-directory/menaka-v-hampole,1,1
Yale,Theis Ingerslev Jensen,Finance,Assistant,Male,Assistant Professor of Finance,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/theis-ingerslev-jensen,1,1
Yale,Edward H. Kaplan,Public Health,Full,Male,William N. and Marie A. Beach Professor of Operations Research; Professor of Engineering; & Professor of Public Health,['he'],https://som.yale.edu/faculty-research/faculty-directory/edward-h-kaplan,1,1
Yale,Ivana V. Katic,Organizational Behavior,Assistant,Female,Assistant Professor of Organizational Behavior,"['she', 'her']",https://som.yale.edu/faculty-research/faculty-directory/ivana-v-katic,1,1
Yale,Bryan T. Kelly,Finance,Associate,Male,"Professor of Finance & Associate Director, International Center for Finance","['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/bryan-t-kelly,1,1
Yale,Sang Kim,Operations Management,Full,Male,Professor of Operations Management,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/sang-kim,1,1
Yale,Balázs Kovács,Organizational Behavior,Full,Male,Professor of Organizational Behavior,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/balazs-kovacs,1,1
Yale,Vineet Kumar,Marketing,Associate,Male,Associate Professor of Marketing,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/vineet-kumar,1,1
Yale,Cameron LaPoint,Finance,Assistant,Male,Assistant Professor of Finance,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/cameron-lapoint,1,1
Yale,James A. Levinsohn,Economics and Management,Full,Male,Dean of the Jackson School of Global Affairs; Charles W. Goodyear Professor in Global Affairs; Professor of Economics and Management,"['his', 'he']",https://som.yale.edu/faculty-research/faculty-directory/james-levinsohn,1,1
Yale,Zhen Lian,Operations Management,Assistant,Female,Assistant Professor of Operations Management,['she'],https://som.yale.edu/faculty-research/faculty-directory/zhen-lian,1,1
