Name,Title,Department,URL,Rank,University
Kent Daniel,Jean-Marie Eveillard/First Eagle Investment Management Professor of Business,Finance Division,https://business.columbia.edu/faculty/people/kent-daniel,Full,Columbia
Olivier Darmouni,Associate Professor of Business,Finance Division,https://business.columbia.edu/faculty/people/olivier-darmouni,Associate,Columbia
Wenxin Du,Henry Kaufman Professor of Financial Institutions,Finance Division,https://business.columbia.edu/faculty/people/wenxin-du,Full,Columbia
Michael Ewens,David L. and Elsie M. Dodd Professor of Finance,Finance Division,https://business.columbia.edu/faculty/people/michael-ewens,Full,Columbia
Xavier Giroud,Stefan H. Robock Professor of Finance and Economics,Finance Division,https://business.columbia.edu/faculty/people/xavier-giroud,Full,Columbia
Lawrence Glosten,S. Sloan Colt Professor Emeritus of Banking and International Finance in the Faculty of Business,Finance Division,https://business.columbia.edu/faculty/people/lawrence-glosten,Emeritus,Columbia
Laurie Simon Hodrick,A. Barton Hepburn Professor Emerita of Economics in the Faculty of Business,Finance Division,https://business.columbia.edu/faculty/people/laurie-simon-hodrick,Emeritus,Columbia
Robert Hodrick,Nomura Professor Emeritus of International Finance,Finance Division,https://business.columbia.edu/faculty/people/robert-hodrick,Emeritus,Columbia
Gur Huberman,Robert G. Kirby Professor of Behavioral Finance,Finance Division,https://business.columbia.edu/faculty/people/gur-huberman,Full,Columbia
Michael Johannes,Ann F. Kaplan Professor of Business; Chair of Finance Division,Finance Division,https://business.columbia.edu/faculty/people/michael-johannes,Full,Columbia
Jane (Jian) Li,Assistant Professor of Business,Finance Division,https://business.columbia.edu/faculty/people/jane-jian-li,Assistant,Columbia
Xuelin Li,Assistant Professor of Business,Finance Division,https://business.columbia.edu/faculty/people/xuelin-li,Assistant,Columbia
Yiming Ma,Associate Professor of Business,Finance Division,https://business.columbia.edu/faculty/people/yiming-ma,Associate,Columbia
Christopher Mayer,Paul Milstein Professor of Real Estate,Finance Division,https://business.columbia.edu/faculty/people/christopher-mayer,Full,Columbia
Bruno Pellegrino,Assistant Professor of Business,Finance Division,https://business.columbia.edu/faculty/people/bruno-pellegrino,Assistant,Columbia
Tomasz Piskorski,Edward S. Gordon Professor of Real Estate,Finance Division,https://business.columbia.edu/faculty/people/tomasz-piskorski,Full,Columbia
Lynne Sagalyn,Earle W. Kazis and Benjamin Schore Professor Emerita of Real Estate,Finance Division,https://business.columbia.edu/staff/people/lynne-sagalyn,Emeritus,Columbia
Tano Santos,Robert Heilbrunn Professor of Asset Management and Finance,Finance Division,https://business.columbia.edu/faculty/people/tano-santos,Full,Columbia
Parinitha Sastry,Assistant Professor of Business,Finance Division,https://business.columbia.edu/faculty/people/parinitha-sastry,Assistant,Columbia
Jesse Schreger,Associate Professor of Business,Economics Division,https://business.columbia.edu/faculty/people/jesse-schreger,Associate,Columbia
M. Suresh Sundaresan,Robert W. Lear Professor of Finance and Economics,Finance Division,https://business.columbia.edu/faculty/people/m-suresh-sundaresan,Full,Columbia
Dominik Supera,Assistant Professor of Business,Finance Division,https://business.columbia.edu/faculty/people/dominik-supera,Assistant,Columbia
Paul Tetlock,A. Barton Hepburn Professor of Economics in the Faculty of Business,Finance Division,https://business.columbia.edu/faculty/people/paul-tetlock,Full,Columbia
Stijn Van Nieuwerburgh,Earle W. Kazis and Benjamin Schore Professor of Real Estate,Finance Division,https://business.columbia.edu/faculty/people/stijn-van-nieuwerburgh,Full,Columbia
Laura Veldkamp,Leon G. Cooperman Professor of Finance & Economics,Finance Division,https://business.columbia.edu/faculty/people/laura-veldkamp,Full,Columbia
Neng Wang,Chong Khoon Lin Professor of Real Estate,Finance Division,https://business.columbia.edu/faculty/people/neng-wang,Full,Columbia
Daniel Wolfenzon,Nomura Professor of International Finance,Finance Division,https://business.columbia.edu/faculty/people/daniel-wolfenzon,Full,Columbia
Kairong Xiao,Roger F. Murray Associate Professor of Business,Finance Division,https://business.columbia.edu/faculty/people/kairong-xiao,Associate,Columbia
Kairong Xiao,Roger F. Murray Associate Professor of Business,Finance Division,https://business.columbia.edu/faculty/people/kairong-xiao,Associate,Columbia
