University,Name,Department,Rank,Sex,Title,Pronouns,URL
Columbia,Mabel Abraham,Management Division,Associate,Female,Barbara and Meyer Feldberg Associate Professor of Business,"['she', 'she', 'her', 'her', 'she', 'her']",https://business.columbia.edu/faculty/people/mabel-abraham
Columbia,Eric Abrahamson,Management Division,Full,Male,Hughie E. Mills Professor of Business,"['he', 'his', 'he', 'he', 'his', 'he']",https://business.columbia.edu/faculty/people/eric-abrahamson
Columbia,Modupe Akinola,Management Division,Full,Female,Barbara and David Zalaznick Professor of Business,"['she', 'she', 'she']",https://business.columbia.edu/faculty/people/modupe-akinola
Columbia,Daniel Ames,Management Division,Full,Male,Ting Tsung and Wei Fong Chao Professor of Business,"['he', 'he']",https://business.columbia.edu/faculty/people/daniel-ames
Columbia,Joel Brockner,Management Division,Full,Male,Phillip Hettleman Professor of Business,"['his', 'he', 'he']",https://business.columbia.edu/faculty/people/joel-brockner
Columbia,Derek Brown,Management Division,Assistant,Male,Assistant Professor of Business,"['he', 'his', 'his', 'his']",https://business.columbia.edu/faculty/people/derek-brown
Columbia,Vanessa Burbano,Management Division,Associate,Female,Sidney Taurel Associate Professor of Business,"['her', 'her', 'she', 'her', 'her', 'her', 'she', 'she', 'she']",https://business.columbia.edu/faculty/people/vanessa-burbano
Columbia,Bo Cowgill,Management Division,Assistant,Male,Assistant Professor,"['his', 'he', 'he', 'his', 'he', 'his']",https://business.columbia.edu/faculty/people/bo-cowgill
Columbia,Shai Davidai,Management Division,Assistant,Male,Assistant Professor of Business,"['his', 'he', 'his', 'his', 'his']",https://business.columbia.edu/faculty/people/shai-davidai
Columbia,Meyer Feldberg,Dean's Office,Emeritus,Male,Dean Emeritus,"['he', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/meyer-feldberg
Columbia,Adam Galinsky,Management Division,Full,Male,Paul Calello Professor of Leadership and Ethics,"['his', 'his', 'his', 'he', 'he', 'his', 'he']",https://business.columbia.edu/faculty/people/adam-galinsky
Columbia,Jorge Guzman,Management Division,Associate,Male,Gantcher Associate Professor of Business,"['his', 'his', 'he']",https://business.columbia.edu/faculty/people/jorge-guzman
Columbia,Kathryn Harrigan,Management Division,Full,Female,Henry R. Kravis Professor of Business Leadership,['she'],https://business.columbia.edu/faculty/people/kathryn-harrigan
Columbia,E. Tory Higgins,Management Division,Full,Male,Professor of Business,"['he', 'he', 'he', 'he', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/e-tory-higgins
Columbia,Raymond Horton,Management Division,Emeritus,Male,Frank R. Lautenberg Professor Emeritus of Ethics and Corporate Governance,"['he', 'his', 'he', 'he', 'he', 'his', 'his', 'his', 'he', 'his']",https://business.columbia.edu/faculty/people/raymond-horton
Columbia,Paul Ingram,Management Division,Full,Male,Kravis Professor of Business,"['he', 'he', 'his', 'he', 'he', 'his', 'his', 'he', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/paul-ingram
