University,Name,Department,Rank,Sex,Title,Pronouns,URL,Face,Smile
Columbia,Mabel Abraham,Management Division,Associate,Female,Barbara and Meyer Feldberg Associate Professor of Business,"['she', 'she', 'her', 'her', 'she', 'her']",https://business.columbia.edu/faculty/people/mabel-abraham,1,1
Columbia,Eric Abrahamson,Management Division,Full,Male,Hughie E. Mills Professor of Business,"['he', 'his', 'he', 'he', 'his', 'he']",https://business.columbia.edu/faculty/people/eric-abrahamson,1,0
Columbia,Modupe Akinola,Management Division,Full,Female,Barbara and David Zalaznick Professor of Business,"['she', 'she', 'she']",https://business.columbia.edu/faculty/people/modupe-akinola,1,1
Columbia,Daniel Ames,Management Division,Full,Male,Ting Tsung and Wei Fong Chao Professor of Business,"['he', 'he']",https://business.columbia.edu/faculty/people/daniel-ames,1,1
Columbia,Joel Brockner,Management Division,Full,Male,Phillip Hettleman Professor of Business,"['his', 'he', 'he']",https://business.columbia.edu/faculty/people/joel-brockner,1,0
Columbia,Derek Brown,Management Division,Assistant,Male,Assistant Professor of Business,"['he', 'his', 'his', 'his']",https://business.columbia.edu/faculty/people/derek-brown,1,0
Columbia,Vanessa Burbano,Management Division,Associate,Female,Sidney Taurel Associate Professor of Business,"['her', 'her', 'she', 'her', 'her', 'her', 'she', 'she', 'she']",https://business.columbia.edu/faculty/people/vanessa-burbano,1,1
Columbia,Bo Cowgill,Management Division,Assistant,Male,Assistant Professor,"['his', 'he', 'he', 'his', 'he', 'his']",https://business.columbia.edu/faculty/people/bo-cowgill,1,0
Columbia,Shai Davidai,Management Division,Assistant,Male,Assistant Professor of Business,"['his', 'he', 'his', 'his', 'his']",https://business.columbia.edu/faculty/people/shai-davidai,1,0
Columbia,Meyer Feldberg,Dean's Office,Emeritus,Male,Dean Emeritus,"['he', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/meyer-feldberg,0,0
Columbia,Adam Galinsky,Management Division,Full,Male,Paul Calello Professor of Leadership and Ethics,"['his', 'his', 'his', 'he', 'he', 'his', 'he']",https://business.columbia.edu/faculty/people/adam-galinsky,1,0
Columbia,Jorge Guzman,Management Division,Associate,Male,Gantcher Associate Professor of Business,"['his', 'his', 'he']",https://business.columbia.edu/faculty/people/jorge-guzman,0,0
Columbia,Kathryn Harrigan,Management Division,Full,Female,Henry R. Kravis Professor of Business Leadership,['she'],https://business.columbia.edu/faculty/people/kathryn-harrigan,1,0
Columbia,E. Tory Higgins,Management Division,Full,Male,Professor of Business,"['he', 'he', 'he', 'he', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/e-tory-higgins,1,1
Columbia,Raymond Horton,Management Division,Emeritus,Male,Frank R. Lautenberg Professor Emeritus of Ethics and Corporate Governance,"['he', 'his', 'he', 'he', 'he', 'his', 'his', 'his', 'he', 'his']",https://business.columbia.edu/faculty/people/raymond-horton,1,1
Columbia,Paul Ingram,Management Division,Full,Male,Kravis Professor of Business,"['he', 'he', 'his', 'he', 'he', 'his', 'his', 'he', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/paul-ingram,0,1
Columbia,Sheena Iyengar,Management Division,Full,Female,S. T. Lee Professor of Business,"['her', 'her', 'her', 'her', 'she', 'she', 'she', 'she', 'her', 'her', 'she', 'she', 'she', 'her', 'she']",https://business.columbia.edu/faculty/people/sheena-iyengar,1,1
Columbia,Daniel Keum,Management Division,Associate,Male,Associate Professor of Business,"['his', 'he', 'his']",https://business.columbia.edu/faculty/people/daniel-keum,0,1
Columbia,Soomi Kim,Management Division,Assistant,Female,Assistant Professor of Business,"['her', 'she']",https://business.columbia.edu/faculty/people/soomi-kim,1,1
Columbia,Bruce Kogut,Management Division,Full,Male,Sanford C. Bernstein & Co. Professor of Leadership and Ethics,"['he', 'he', 'his', 'his', 'he', 'he', 'he', 'his', 'his', 'his', 'he', 'he', 'he', 'he', 'his', 'he', 'he', 'he', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/bruce-kogut,1,1
Columbia,Malia Mason,Management Division,Full,Female,Courtney C. Brown Professor of Business,"['she', 'her', 'her', 'her', 'her', 'her', 'she', 'her', 'her', 'she', 'her']",https://business.columbia.edu/faculty/people/malia-mason,1,1
Columbia,Sandra Matz,Management Division,Associate,Female,David W. Zalaznick Associate Professor of Business,"['she', 'her', 'she', 'her']",https://business.columbia.edu/faculty/people/sandra-matz,1,0
Columbia,Michael Mauskapf,Management Division,Assistant,Male,Assistant Professor of Business,"['he', 'his', 'he']",https://business.columbia.edu/faculty/people/michael-mauskapf,1,1
Columbia,Stephan Meier,Management Division,Full,Male,James P. Gorman Professor of Business; Chair of Management Division,"['he', 'his', 'he', 'his']",https://business.columbia.edu/faculty/people/stephan-meier,1,0
Columbia,Michael Morris,Management Division,Full,Male,Chavkin-Chang Professor of Leadership,"['he', 'he', 'he', 'he', 'his', 'his', 'his', 'he', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/michael-morris,1,1
Columbia,Rebecca Ponce de Leon,Management Division,Assistant,Female,Assistant Professor of Business,"['her', 'she', 'she', 'her', 'her']",https://business.columbia.edu/faculty/people/rebecca-ponce-de-leon,1,1
Columbia,Michael Slepian,Management Division,Associate,Male,Associate Professor of Business,"['his', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/michael-slepian,1,1
Columbia,Adina D. Sterling,Management Division,Associate,Female,Katherine W. Phillips Associate Professor of Business,"['her', 'her', 'her', 'she', 'she', 'she', 'she', 'her', 'she', 'her', 'she', 'she', 'her', 'she']",https://business.columbia.edu/faculty/people/adina-d-sterling,1,1
Columbia,Dan Wang,Management Division,Associate,Male,Lambert Family Associate Professor of Social Enterprise in the Faculty of Business,"['he', 'his', 'he', 'he', 'he', 'his', 'he', 'he', 'he', 'his', 'his', 'he', 'his', 'his', 'he', 'his', 'he', 'he']",https://business.columbia.edu/faculty/people/dan-wang,1,0
Columbia,Nataliya L. Wright,Management Division,Assistant,Female,Assistant Professor of Business,"['her', 'her', 'she', 'her']",https://business.columbia.edu/faculty/people/nataliya-l-wright,1,1
Columbia,Lori Yue,Management Division,Associate,Female,Associate Professor of Business,"['her', 'she', 'her', 'her', 'her', 'her', 'she', 'she', 'she', 'she', 'she']",https://business.columbia.edu/faculty/people/lori-yue,1,1
Columbia,Santiago Balseiro,"Decision, Risk, and Operations Division",Associate,Male,Associate Professor of Business,"['he', 'he', 'his', 'his', 'his', 'he', 'his', 'he']",https://business.columbia.edu/faculty/people/santiago-balseiro,1,1
Columbia,Omar Besbes,"Decision, Risk, and Operations Division",Full,Male,Vikram S. Pandit Professor of Business,"['his', 'he', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/omar-besbes,1,0
Columbia,Mark Broadie,"Decision, Risk, and Operations Division",Full,Male,Carson Family Professor of Business,"['he', 'his', 'he', 'he']",https://business.columbia.edu/faculty/people/mark-broadie,1,0
Columbia,Carri Chan,"Decision, Risk, and Operations Division",Full,Female,John A. Howard Professor of Business,"['her', 'her']",https://business.columbia.edu/faculty/people/carri-chan,1,0
Columbia,Jing Dong,"Decision, Risk, and Operations Division",Associate,Female,Regina Pitaro Associate Professor of Business,"['her', 'her']",https://business.columbia.edu/faculty/people/jing-dong,1,0
Columbia,Awi Federgruen,"Decision, Risk, and Operations Division",Full,Male,"Charles E. Exley Professor of Management; Chair of Decision, Risk, and Operations","['he', 'his', 'he', 'his', 'he', 'his', 'he', 'his', 'he', 'his', 'his', 'he']",https://business.columbia.edu/faculty/people/awi-federgruen,1,1
